,0
check,398
damask,303
ikat,192
floral,2449
stripe,1380
geometric,2405
curve,498
grungy,158
marble,339
terrazzo,127
wavy,235
pastel,691
iridescent,113
holographic,127
linen,192
butterfly,163
tropical,901
triangle,388
star,496
bird,314
leaf,1783
abstract,4774
botanical,955
white,3025
nature,2331
flower,2100
colorful,1740
summer,2132
color,3681
blue,1688
black,1939
line,2218
drawing,1923
trendy,1530
shape,1494
watercolor,1386
creative,1331
spring,1483
beautiful,1284
pink,1319
purple,326
grunge,1004
ornate,866
bright,955
template,1180
cute,1412
plant,1392
natural,1092
textured,904
simple,1232
ethnic,697
green,1026
traditional,792
old,1390
elegant,928
paint,1503
artistic,795
mosaic,498
drawn,1852
hand,2228
classic,772
garden,1019
exotic,805
beauty,677
light,778
ornamental,637
doodle,928
blossom,848
cloth,1068
monochrome,744
tribal,449
wave,588
animal,809
romantic,658
cartoon,854
elegance,518
stone,340
yellow,586
effect,454
luxury,475
brush,710
boho,439
artwork,485
floor,333
jungle,612
gradient,301
sketch,744
antique,376
oriental,397
silhouette,556
palm,517
set,771
flora,2477
gray,481
vibrant,240
circle,519
batik,299
tree,700
gold,573
branch,588
painting,486
leaves,942
rose,540
organic,419
baby,622
foliage,491
rock,314
grey,371
granite,188
plaid,374
lines,569
victorian,323
dark,542
water,1712
wild,805
rainbow,324
hipster,441
grid,357
hawaii,390
brown,351
petal,397
dye,285
swirl,275
bloom,546
happy,462
tropic,925
rough,348
beige,340
baroque,275
orange,323
dot,750
fantasy,317
minimal,505
folk,407
diagonal,280
checkered,293
distressed,171
bohemian,268
pretty,309
sea,6880
love,545
tartan,297
rustic,309
zigzag,256
chevron,266
