,0
check,5613
damask,6507
ikat,6055
floral,26260
stripe,17782
geometric,32198
curve,9115
grungy,4864
marble,8349
terrazzo,4928
wavy,6017
pastel,10476
iridescent,4886
holographic,4505
linen,5167
butterfly,4582
tropical,10025
triangle,4383
star,6471
bird,6268
leaf,17599
botanical,7802
retro,31796
white,31712
nature,22202
paper,64447
flower,23873
colorful,23147
summer,21089
color,46448
blue,20351
black,19656
line,27847
drawing,17538
wrapping,20519
trendy,17511
shape,18117
watercolor,15695
creative,15362
spring,14305
beautiful,15113
pink,14834
grunge,13036
ornate,12587
bright,13285
template,12889
cute,12475
plant,12540
natural,11973
textured,12842
simple,11807
ethnic,12012
green,11759
traditional,10936
old,17058
elegant,10570
paint,18062
artistic,9572
mosaic,9342
drawn,16078
hand,21217
classic,9915
garden,8644
exotic,8292
beauty,8132
light,10084
ornamental,8601
doodle,8387
blossom,7659
cloth,12314
monochrome,7658
tribal,7525
wave,8380
animal,7627
romantic,6911
cartoon,6977
elegance,6786
stone,6832
yellow,6852
effect,8028
luxury,6513
brush,8182
boho,6590
artwork,6339
floor,6686
isolated,6504
jungle,5744
gradient,5815
stylish,6958
sketch,6140
antique,5578
oriental,5977
symbol,5770
geometry,5686
silhouette,5737
holiday,5829
indian,5768
palm,5423
set,6490
